config,learning_rate,layer_sizes,num_seeds,final_train_loss_mean,final_train_loss_std,final_train_accuracy_mean,final_train_accuracy_std,final_train_macro_sensitivity_mean,final_train_macro_sensitivity_std,final_train_macro_specificity_mean,final_train_macro_specificity_std,final_train_sensitivity_class_0_mean,final_train_sensitivity_class_0_std,final_train_sensitivity_class_1_mean,final_train_sensitivity_class_1_std,final_train_sensitivity_class_2_mean,final_train_sensitivity_class_2_std,final_train_specificity_class_0_mean,final_train_specificity_class_0_std,final_train_specificity_class_1_mean,final_train_specificity_class_1_std,final_train_specificity_class_2_mean,final_train_specificity_class_2_std,final_val_loss_mean,final_val_loss_std,final_val_accuracy_mean,final_val_accuracy_std,final_val_macro_sensitivity_mean,final_val_macro_sensitivity_std,final_val_macro_specificity_mean,final_val_macro_specificity_std,final_val_sensitivity_class_0_mean,final_val_sensitivity_class_0_std,final_val_sensitivity_class_1_mean,final_val_sensitivity_class_1_std,final_val_sensitivity_class_2_mean,final_val_sensitivity_class_2_std,final_val_specificity_class_0_mean,final_val_specificity_class_0_std,final_val_specificity_class_1_mean,final_val_specificity_class_1_std,final_val_specificity_class_2_mean,final_val_specificity_class_2_std,final_test_loss_mean,final_test_loss_std,final_test_accuracy_mean,final_test_accuracy_std,final_test_macro_sensitivity_mean,final_test_macro_sensitivity_std,final_test_macro_specificity_mean,final_test_macro_specificity_std,final_test_sensitivity_class_0_mean,final_test_sensitivity_class_0_std,final_test_sensitivity_class_1_mean,final_test_sensitivity_class_1_std,final_test_sensitivity_class_2_mean,final_test_sensitivity_class_2_std,final_test_specificity_class_0_mean,final_test_specificity_class_0_std,final_test_specificity_class_1_mean,final_test_specificity_class_1_std,final_test_specificity_class_2_mean,final_test_specificity_class_2_std
medium_2_hidden_13_8_lr_0_1,0.1,13 -> 13 -> 8 -> 3,10,0.0003107867884039255,0.00043312570262160757,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06480897350437578,0.05441924180872536,0.9805555555555555,0.013417941431656895,0.9814285714285715,0.013365418688902128,0.9904526029526031,0.006649748111005254,1.0,0.0,0.9642857142857144,0.037646162621052116,0.9800000000000001,0.04216370213557838,0.9958333333333333,0.013176156917368237,0.990909090909091,0.019165319152535616,0.9846153846153847,0.01986145305747392,0.06973935666747186,0.0788561063222209,0.9685714285714285,0.028412255028907245,0.9707671957671957,0.024409849645480243,0.9844800127408824,0.013736143627447952,0.9916666666666666,0.026352313834736504,0.9428571428571428,0.07377111135633176,0.9777777777777779,0.04684855792842046,0.9869565217391305,0.02934558946567622,0.9857142857142858,0.023002185311411835,0.9807692307692308,0.027196414661021042
large_2_hidden_32_16_lr_0_1,0.1,13 -> 32 -> 16 -> 3,10,0.00010083462303708333,1.0935629846173942e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0896073007092474,0.07208872416255542,0.975,0.02049624409368395,0.9762698412698413,0.020411385904959594,0.9875485625485625,0.010524305899769265,0.9916666666666666,0.026352313834736504,0.9571428571428571,0.04994327848429293,0.9800000000000001,0.04216370213557838,0.9916666666666668,0.01756820922315765,0.9863636363636363,0.03067947989593423,0.9846153846153847,0.01986145305747392,0.07348700275262915,0.08237128804866091,0.9714285714285713,0.03011693009684172,0.9735449735449736,0.02570966443935319,0.9862345384084514,0.01394554191444896,1.0,0.0,0.9428571428571428,0.08109231602822098,0.9777777777777779,0.04684855792842046,0.9913043478260869,0.027498066610159834,0.9904761904761905,0.020077953397894494,0.976923076923077,0.041344911529736156
medium_1_hidden_13_lr_0_1,0.1,13 -> 13 -> 3,10,0.00028460463786974426,4.130016381678415e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.07971191527942037,0.05707706707924163,0.975,0.02049624409368395,0.9762698412698413,0.020411385904959594,0.9875485625485625,0.010524305899769265,0.9916666666666666,0.026352313834736504,0.9571428571428571,0.04994327848429293,0.9800000000000001,0.04216370213557838,0.9916666666666668,0.01756820922315765,0.9863636363636363,0.03067947989593423,0.9846153846153847,0.01986145305747392,0.05802319638497222,0.06526577637709749,0.9742857142857144,0.0250170010220261,0.9755291005291005,0.022406659518998066,0.9873785634655199,0.012028020625405379,0.9916666666666666,0.026352313834736504,0.9571428571428571,0.06023386019368343,0.9777777777777779,0.04684855792842046,0.9956521739130434,0.0137490333050799,0.9857142857142858,0.023002185311411835,0.9807692307692308,0.027196414661021042
medium_1_hidden_13_lr_0_01,0.01,13 -> 13 -> 3,10,0.0050393180179583615,0.0007362648717250495,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06051383124595282,0.042037515607576424,0.9722222222222221,0.018518518518518528,0.9742857142857144,0.01637307550251126,0.9863927738927739,0.008946463983673525,1.0,0.0,0.9428571428571428,0.056343616981901115,0.9800000000000001,0.04216370213557838,0.9875,0.020126912147485312,0.990909090909091,0.019165319152535616,0.9807692307692308,0.020271010642104983,0.04867740201299752,0.043963358594080154,0.9800000000000001,0.027105237087157546,0.982010582010582,0.023424278964210236,0.9903859425598556,0.013201395503073116,1.0,0.0,0.9571428571428571,0.06900655593423542,0.9888888888888889,0.03513641844631534,0.9913043478260869,0.027498066610159834,0.9952380952380953,0.015058465048420872,0.9846153846153847,0.01986145305747392
small_1_hidden_4_lr_0_01,0.01,13 -> 4 -> 3,10,0.012758628255976035,0.00751358611299239,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06735893447227774,0.04278532564412101,0.9722222222222221,0.018518518518518528,0.9742857142857144,0.01637307550251126,0.9863927738927739,0.008946463983673525,1.0,0.0,0.9428571428571428,0.056343616981901115,0.9800000000000001,0.04216370213557838,0.9875,0.020126912147485312,0.990909090909091,0.019165319152535616,0.9807692307692308,0.020271010642104983,0.05199714235978599,0.037794014789262795,0.9914285714285714,0.01380131118684709,0.9928571428571429,0.011501092655705862,0.9961538461538462,0.00619289604538008,1.0,0.0,0.9785714285714286,0.03450327796711769,1.0,0.0,1.0,0.0,1.0,0.0,0.9884615384615385,0.018578688136140293
small_1_hidden_4_lr_0_1,0.1,13 -> 4 -> 3,10,0.0007157494780181057,0.0005428136146094331,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08943747133967667,0.06314512728164128,0.9722222222222221,0.018518518518518528,0.9738888888888889,0.018648260550709447,0.9862665112665112,0.009577232836090263,0.9916666666666666,0.026352313834736504,0.95,0.04821061126503949,0.9800000000000001,0.04216370213557838,0.9916666666666668,0.01756820922315765,0.9863636363636363,0.03067947989593423,0.9807692307692308,0.020271010642104983,0.06205405289651603,0.07092406361263572,0.9771428571428572,0.026255330956362337,0.9779100529100528,0.02371174973146468,0.9886606147475714,0.012670543246332974,0.9916666666666666,0.026352313834736504,0.9642857142857144,0.06070261325705697,0.9777777777777779,0.04684855792842046,0.9956521739130434,0.0137490333050799,0.9857142857142858,0.023002185311411835,0.9846153846153847,0.026892534568465406
small_1_hidden_8_lr_0_01,0.01,13 -> 8 -> 3,10,0.010918515865320985,0.007699631064835104,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06588956326521866,0.04083923947187924,0.9694444444444443,0.02049624409368395,0.970952380952381,0.02087165787120826,0.9848776223776226,0.010401715500895732,1.0,0.0,0.9428571428571428,0.056343616981901115,0.97,0.06749485577105528,0.9875,0.020126912147485312,0.9863636363636363,0.03067947989593423,0.9807692307692308,0.020271010642104983,0.05200027929206976,0.03867086892414825,0.9771428571428572,0.02950844454253271,0.9796296296296296,0.02522261679693764,0.9891038912778043,0.014136781763913678,1.0,0.0,0.95,0.07566785039081289,0.9888888888888889,0.03513641844631534,0.9913043478260869,0.027498066610159834,0.9952380952380953,0.015058465048420872,0.9807692307692308,0.027196414661021042
small_1_hidden_8_lr_0_1,0.1,13 -> 8 -> 3,10,0.0007057970456936455,0.0005655995000604672,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08236748867680818,0.05902988446013017,0.9694444444444443,0.02432208432696982,0.9705555555555556,0.026797910215864147,0.9847513597513599,0.013056413450473047,0.9916666666666666,0.026352313834736504,0.95,0.04821061126503949,0.97,0.06749485577105528,0.9916666666666668,0.01756820922315765,0.9818181818181818,0.04391326286724072,0.9807692307692308,0.020271010642104983,0.05453372203082997,0.06129610979194746,0.9771428571428572,0.02253744679276045,0.9783068783068783,0.020293685874627893,0.9889658650528215,0.010638461371597758,1.0,0.0,0.9571428571428571,0.06023386019368343,0.9777777777777779,0.04684855792842046,0.9956521739130434,0.0137490333050799,0.9904761904761905,0.020077953397894494,0.9807692307692308,0.027196414661021042
large_2_hidden_32_16_lr_0_01,0.01,13 -> 32 -> 16 -> 3,10,0.0756557066651402,0.18508260442146907,0.9663551401869158,0.10639438856641277,0.965891472868217,0.10786063337008428,0.981343482905983,0.05899708722295973,0.9,0.31622776601683794,0.9976744186046511,0.007354134093414849,1.0,0.0,1.0,0.0,0.9453125,0.17293705954045824,0.9987179487179487,0.004054202128420985,0.12415982816978795,0.16676415603385097,0.9416666666666667,0.10011139200574452,0.9442857142857143,0.1003910218537169,0.969512432012432,0.05474083693503664,0.9,0.31622776601683794,0.9428571428571428,0.06563832739090582,0.99,0.031622776601683784,0.9791666666666666,0.02946278254943948,0.940909090909091,0.17148677353843528,0.9884615384615385,0.018578688136140293,0.12251017452524793,0.1829167109690534,0.9428571428571428,0.11348928845536176,0.9476190476190476,0.10928199668608574,0.970194298455168,0.062192242330866954,0.9,0.31622776601683794,0.9428571428571428,0.06563832739090585,1.0,0.0,0.9869565217391305,0.02934558946567622,0.9428571428571428,0.1807015805810502,0.9807692307692308,0.03268602252303065
medium_1_hidden_13_lr_0_001,0.001,13 -> 13 -> 3,10,0.39153972621720234,0.07475377071699123,0.9523364485981309,0.08547982338390356,0.9496124031007751,0.10510476867913562,0.9751023860398862,0.04775148949809266,1.0,0.0,0.9488372093023255,0.021370618220294926,0.9,0.31622776601683794,0.9847222222222222,0.010248122046841978,0.9546875,0.14329070647637968,0.985897435897436,0.009459804966315676,0.4118000440473498,0.08114431036158548,0.9333333333333332,0.07986614315869565,0.9333333333333333,0.09707228477092483,0.966045066045066,0.043749180374661335,1.0,0.0,0.9,0.08384198505551911,0.9,0.31622776601683794,0.9666666666666668,0.04303314829119352,0.9545454545454545,0.14373989364401724,0.976923076923077,0.03243361702736797,0.3991126243785766,0.061360972339199765,0.9514285714285714,0.0762499767666594,0.9476190476190476,0.10026420125303974,0.9749270053617879,0.042188028651868756,1.0,0.0,0.9428571428571428,0.056343616981901115,0.9,0.31622776601683794,0.9782608695652174,0.03074377309506729,0.9619047619047618,0.12046772038736683,0.9846153846153847,0.01986145305747392
large_3_hidden_64_32_16_lr_0_1,0.1,13 -> 64 -> 32 -> 16 -> 3,10,0.10624884955896832,0.3307083748612843,0.9401869158878504,0.1891455796736227,0.9333333333333332,0.21081851067789195,0.9666666666666666,0.10540925533894599,0.9,0.31622776601683794,1.0,0.0,0.9,0.31622776601683794,1.0,0.0,0.9,0.31622776601683794,1.0,0.0,0.1981332657915203,0.31069250235697626,0.9055555555555556,0.1848144437018466,0.9034126984126984,0.20273943766183805,0.9503885003885004,0.10117184459975906,0.8916666666666666,0.31439241815379804,0.9285714285714286,0.07529232524210429,0.89,0.3142893217686178,0.9833333333333334,0.029133579115837548,0.890909090909091,0.313603423830188,0.976923076923077,0.03243361702736797,0.23964713187603842,0.3529359272975259,0.9114285714285714,0.1829216156180495,0.9078042328042327,0.20391932402859572,0.9528720072198332,0.10186578202152863,0.8916666666666666,0.31439241815379804,0.9428571428571428,0.08780518530755131,0.888888888888889,0.31426968052735443,0.9826086956521738,0.042003990568665044,0.8952380952380953,0.3149103940987237,0.9807692307692308,0.04154320960517859
small_1_hidden_8_lr_0_001,0.001,13 -> 8 -> 3,10,0.5512616347174178,0.13558864093881412,0.8514018691588785,0.15535460417104013,0.8400160384923817,0.17316246102568475,0.9187900641025643,0.08684501980840914,0.8,0.42163702135578396,0.9441860465116279,0.049272088626575825,0.7758620689655172,0.4113112031053538,0.9749999999999999,0.02683588286331379,0.7890625,0.2661096477357699,0.9923076923076923,0.008964178189488468,0.5762179574517882,0.13252426315913,0.8388888888888888,0.1597322863173913,0.8333333333333334,0.1724250871619082,0.9145493395493395,0.08650338208236567,0.8,0.42163702135578396,0.9,0.10213147899774866,0.8,0.4216370213557839,0.9583333333333333,0.05555555555555555,0.8045454545454545,0.25538282180861566,0.9807692307692306,0.04154320960517859,0.556439107661181,0.12350699041426652,0.8457142857142859,0.1420293476747219,0.8354497354497354,0.1583858700018488,0.9163348728566121,0.07981489922000799,0.8,0.42163702135578396,0.9285714285714286,0.07529232524210427,0.7777777777777778,0.41573970964154905,0.9739130434782609,0.03666408881354644,0.7904761904761904,0.2561414952881817,0.9846153846153847,0.03715737627228062
medium_2_hidden_13_8_lr_0_01,0.01,13 -> 13 -> 8 -> 3,10,0.5275415801339255,0.29669167672949504,0.7878504672897196,0.18207916592192405,0.7505869324473975,0.21208686903586554,0.8838808760683762,0.10126857092074186,0.8657142857142859,0.3109636838899564,0.9860465116279069,0.01961102424910622,0.4,0.5163977794943223,0.9583333333333334,0.12213801813215663,0.6984375,0.32123638778986074,0.9948717948717949,0.006620484352491287,0.5584177912956455,0.28347364918156653,0.7416666666666667,0.17423652782033433,0.7111111111111112,0.2004289093704555,0.8614316239316239,0.09484701065958633,0.7833333333333334,0.33609963249453717,0.95,0.07566785039081288,0.4,0.5163977794943223,0.9458333333333334,0.11628575382741377,0.65,0.2930555283555056,0.9884615384615385,0.025959559911944326,0.552424325656125,0.29404471184158204,0.7628571428571428,0.16608060223851942,0.7238095238095238,0.19754838200226404,0.8719090088655307,0.09337931639377492,0.85,0.31622776601683794,0.9214285714285714,0.12348859504657086,0.4,0.5163977794943223,0.9521739130434783,0.09925155749718223,0.6904761904761905,0.3104382097715547,0.9730769230769232,0.060270047556631574
small_1_hidden_4_lr_0_001,0.001,13 -> 4 -> 3,10,0.7589859724002431,0.10514945359109508,0.7074766355140187,0.09692930028527072,0.6774086378737542,0.10598907276757556,0.8386663105413106,0.05391766199918119,0.5857142857142857,0.5052558230362301,0.9465116279069766,0.04392004798206294,0.5,0.5270462766947299,0.9819444444444443,0.027816331269999637,0.546875,0.16486658115983766,0.9871794871794872,0.018130943107347378,0.7688175018766984,0.1128980629575904,0.6777777777777778,0.10654185084179646,0.6555555555555557,0.11268723396380223,0.8271173271173271,0.05777006800597028,0.5666666666666667,0.49814470603244204,0.9,0.11268723396380222,0.5,0.5270462766947299,0.9666666666666668,0.06148873228105181,0.5454545454545454,0.17539146822409432,0.9692307692307693,0.05063696835418334,0.7641414201883174,0.103460138846664,0.6914285714285715,0.12329563682043626,0.6626984126984127,0.1251101807177337,0.831093061527844,0.06660128886070969,0.5666666666666667,0.49814470603244204,0.9214285714285715,0.10350983390135314,0.5,0.5270462766947299,0.9782608695652174,0.05518676163669499,0.5380952380952382,0.17965281037359887,0.976923076923077,0.04134491152973615
large_2_hidden_32_16_lr_0_001,0.001,13 -> 32 -> 16 -> 3,10,1.085798553738225,4.0598643804106604e-05,0.4018691588785047,5.851389114294502e-17,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0893908804310732,4.157671574431016e-05,0.3888888888888889,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0839064911952887,5.3197481661724644e-05,0.4,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
large_3_hidden_64_32_16_lr_0_001,0.001,13 -> 64 -> 32 -> 16 -> 3,10,1.08584772635271,4.61477573229599e-06,0.4018691588785047,5.851389114294502e-17,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.08943770998794,8.666275259677212e-06,0.3888888888888889,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0839517893501172,2.123967441022183e-05,0.4,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
large_3_hidden_64_32_16_lr_0_01,0.01,13 -> 64 -> 32 -> 16 -> 3,10,1.08571921023676,3.209082507914588e-06,0.4018691588785047,5.851389114294502e-17,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.089671178535839,3.082510247085588e-05,0.3888888888888889,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0835060264718308,5.9419788799751165e-05,0.4,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
medium_2_hidden_13_8_lr_0_001,0.001,13 -> 13 -> 8 -> 3,10,1.0858340479176394,8.118688238001758e-06,0.4018691588785047,5.851389114294502e-17,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0894232234575227,1.1311245648849271e-05,0.3888888888888889,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0839383917569863,2.1765046231780952e-05,0.4,0.0,0.33333333333333337,5.851389114294502e-17,0.6666666666666667,1.1702778228589004e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
